
instructor.o:     file format elf64-x86-64
 07570 4b537437 5f5f6378 78313131 305f4c69  KSt7__cxx1110_Li
 07580 73745f62 61736549 504e3754 65616368  st_baseIPN7Teach
 07590 65723130 43686573 73506965 63654553  er10ChessPieceES
 075a0 61495333 5f454531 315f4d5f 6765745f  aIS3_EE11_M_get_
 075b0 73697a65 4576006e 5f736967 6e5f706f  sizeEv.n_sign_po
 075c0 736e0077 6373746f 6c640069 6e745f6c  sn.wcstold.int_l
 075d0 65617374 31365f74 005f5f73 77617070  east16_t.__swapp
 075e0 61626c65 5f776974 685f6465 7461696c  able_with_detail
 075f0 73007763 73746f6c 6c005f5a 4e537436  s.wcstoll._ZNSt6
 07600 76656374 6f724953 5f49504e 37546561  vectorIS_IPN7Tea
 07610 63686572 31304368 65737350 69656365  cher10ChessPiece
 07620 45536149 53325f45 45536149 53345f45  ESaIS2_EESaIS4_E
 07630 45356572 61736545 4e395f5f 676e755f  E5eraseEN9__gnu_
 07640 63787831 375f5f6e 6f726d61 6c5f6974  cxx17__normal_it
 07650 65726174 6f724950 4b53345f 53365f45  eratorIPKS4_S6_E
 07660 4553425f 005f5f6e 6f726d61 6c5f6974  ESB_.__normal_it
 07670 65726174 6f723c54 65616368 65723a3a  erator<Teacher::
 07680 43686573 73506965 63652a2a 2c207374  ChessPiece**, st
 07690 643a3a76 6563746f 723c5465 61636865  d::vector<Teache
 076a0 723a3a43 68657373 50696563 652a2c20  r::ChessPiece*, 
 076b0 7374643a 3a616c6c 6f636174 6f723c54  std::allocator<T
 076c0 65616368 65723a3a 43686573 73506965  eacher::ChessPie
 076d0 63652a3e 203e203e 00776373 72746f6d  ce*> > >.wcsrtom
 076e0 6273006c 6c646976 00657863 65707469  bs.lldiv.excepti
 076f0 6f6e5f70 7472005f 5a4e4b53 74367665  on_ptr._ZNKSt6ve
 07700 63746f72 49535f49 504e3754 65616368  ctorIS_IPN7Teach
 07710 65723130 43686573 73506965 63654553  er10ChessPieceES
 07720 61495332 5f454553 61495334 5f454531  aIS2_EESaIS4_EE1
 07730 345f4d5f 72616e67 655f6368 65636b45  4_M_range_checkE
 07740 6d00395f 475f6670 6f735f74 005f5a4e  m.9_G_fpos_t._ZN
 07750 53743676 6563746f 7249535f 49504e37  St6vectorIS_IPN7
 07760 54656163 68657231 30436865 73735069  Teacher10ChessPi
 07770 65636545 53614953 325f4545 53614953  eceESaIS2_EESaIS
 07780 345f4545 39707573 685f6261 636b454f  4_EE9push_backEO
 07790 53345f00 77637363 6d700077 63736373  S4_.wcscmp.wcscs
 077a0 706e005f 5a4e5374 36766563 746f7249  pn._ZNSt6vectorI
 077b0 535f4950 4e375465 61636865 72313043  S_IPN7Teacher10C
 077c0 68657373 50696563 65455361 4953325f  hessPieceESaIS2_
 077d0 45455361 4953345f 45453138 5f4d5f66  EESaIS4_EE18_M_f
 077e0 696c6c5f 696e6974 69616c69 7a65456d  ill_initializeEm
 077f0 524b5334 5f005f49 4f5f7265 61645f62  RKS4_._IO_read_b
 07800 61736500 5f5a4e53 7431325f 56656374  ase._ZNSt12_Vect
 07810 6f725f62 61736549 53743676 6563746f  or_baseISt6vecto
 07820 7249504e 37546561 63686572 31304368  rIPN7Teacher10Ch
 07830 65737350 69656365 45536149 53335f45  essPieceESaIS3_E
 07840 45536149 53355f45 4531325f 56656374  ESaIS5_EE12_Vect
 07850 6f725f69 6d706c31 325f4d5f 73776170  or_impl12_M_swap
 07860 5f646174 61455253 385f005f 5a4e5374  _dataERS8_._ZNSt
 07870 375f5f63 78783131 346c6973 7449504e  7__cxx114listIPN
 07880 37546561 63686572 31304368 65737350  7Teacher10ChessP
 07890 69656365 45536149 53335f45 4531315f  ieceESaIS3_EE11_
 078a0 4d5f7472 616e7366 65724553 7431345f  M_transferESt14_
 078b0 4c697374 5f697465 7261746f 72495333  List_iteratorIS3
 078c0 5f455337 5f53375f 005f5a4e 53743230  _ES7_S7_._ZNSt20
 078d0 5f4c6973 745f636f 6e73745f 69746572  _List_const_iter
 078e0 61746f72 49504e37 54656163 68657231  atorIPN7Teacher1
 078f0 30436865 73735069 65636545 45433445  0ChessPieceEEC4E
 07900 524b5374 31345f4c 6973745f 69746572  RKSt14_List_iter
 07910 61746f72 4953325f 45007e5f 4c697374  atorIS2_E.~_List
 07920 5f626173 65005f5a 4e395f5f 676e755f  _base._ZN9__gnu_
 07930 63787831 365f5f61 6c69676e 65645f6d  cxx16__aligned_m
 07940 656d6275 6649504e 37546561 63686572  embufIPN7Teacher
 07950 31304368 65737350 69656365 45454334  10ChessPieceEEC4
 07960 45446e00 5f5a4e53 74313769 6e746567  EDn._ZNSt17integ
 07970 72616c5f 636f6e73 74616e74 49624c62  ral_constantIbLb
 07980 31454535 76616c75 6545005f 5f666f72  1EE5valueE.__for
 07990 5f72616e 6765005f 5a4e5374 31325f56  _range._ZNSt12_V
 079a0 6563746f 725f6261 73654953 74367665  ector_baseISt6ve
 079b0 63746f72 49504e37 54656163 68657231  ctorIPN7Teacher1
 079c0 30436865 73735069 65636545 53614953  0ChessPieceESaIS
 079d0 335f4545 53614953 355f4545 31335f4d  3_EESaIS5_EE13_M
 079e0 5f646561 6c6c6f63 61746545 5053355f  _deallocateEPS5_
 079f0 6d005f5a 4e537431 325f5665 63746f72  m._ZNSt12_Vector
 07a00 5f626173 6549504e 37546561 63686572  _baseIPN7Teacher
 07a10 31304368 65737350 69656365 45536149  10ChessPieceESaI
 07a20 53325f45 4531335f 4d5f6465 616c6c6f  S2_EE13_M_deallo
 07a30 63617465 45505332 5f6d005f 5a4e5374  cateEPS2_m._ZNSt
 07a40 36766563 746f7249 504e3754 65616368  6vectorIPN7Teach
 07a50 65723130 43686573 73506965 63654553  er10ChessPieceES
 07a60 61495332 5f454535 65726173 65454e39  aIS2_EE5eraseEN9
 07a70 5f5f676e 755f6378 7831375f 5f6e6f72  __gnu_cxx17__nor
 07a80 6d616c5f 69746572 61746f72 49504b53  mal_iteratorIPKS
 07a90 325f5334 5f454500 5f5a4e4b 395f5f67  2_S4_EE._ZNK9__g
 07aa0 6e755f63 78783137 5f5f6e6f 726d616c  nu_cxx17__normal
 07ab0 5f697465 7261746f 7249504b 504e3754  _iteratorIPKPN7T
 07ac0 65616368 65723130 43686573 73506965  eacher10ChessPie
 07ad0 63654553 74367665 63746f72 4953335f  ceESt6vectorIS3_
 07ae0 53614953 335f4545 45646545 76006677  SaIS3_EEEdeEv.fw
 07af0 7363616e 66005f5a 4e4b5374 3136696e  scanf._ZNKSt16in
 07b00 69746961 6c697a65 725f6c69 73744953  itializer_listIS
 07b10 74367665 63746f72 49504e37 54656163  t6vectorIPN7Teac
 07b20 68657231 30436865 73735069 65636545  her10ChessPieceE
 07b30 53614953 335f4545 4533656e 64457600  SaIS3_EEE3endEv.
 07b40 5f4d5f63 6865636b 5f6c656e 00626173  _M_check_len.bas
 07b50 65005f5a 4e537436 76656374 6f724950  e._ZNSt6vectorIP
 07b60 4e375465 61636865 72313043 68657373  N7Teacher10Chess
 07b70 50696563 65455361 4953325f 45453464  PieceESaIS2_EE4d
 07b80 61746145 76006164 64726573 7300705f  ataEv.address.p_
 07b90 7369676e 5f706f73 6e007569 6e74385f  sign_posn.uint8_
 07ba0 74005f5f 756e696e 69745f63 6f70793c  t.__uninit_copy<
 07bb0 5f5f676e 755f6378 783a3a5f 5f6e6f72  __gnu_cxx::__nor
 07bc0 6d616c5f 69746572 61746f72 3c546561  mal_iterator<Tea
 07bd0 63686572 3a3a4368 65737350 69656365  cher::ChessPiece
 07be0 2a20636f 6e73742a 2c207374 643a3a76  * const*, std::v
 07bf0 6563746f 723c5465 61636865 723a3a43  ector<Teacher::C
 07c00 68657373 50696563 652a3e20 3e2c2054  hessPiece*> >, T
 07c10 65616368 65723a3a 43686573 73506965  eacher::ChessPie
 07c20 63652a2a 3e005f5a 4e536149 53743130  ce**>._ZNSaISt10
 07c30 5f4c6973 745f6e6f 64654950 4e375465  _List_nodeIPN7Te
 07c40 61636865 72313043 68657373 50696563  acher10ChessPiec
 07c50 65454545 44324576 005f5a4e 53743676  eEEED2Ev._ZNSt6v
 07c60 6563746f 7249535f 49504e37 54656163  ectorIS_IPN7Teac
 07c70 68657231 30436865 73735069 65636545  her10ChessPieceE
 07c80 53614953 325f4545 53614953 345f4545  SaIS2_EESaIS4_EE
 07c90 36726573 697a6545 6d524b53 345f005f  6resizeEmRKS4_._
 07ca0 5a4e5374 32305f5f 756e696e 69746961  ZNSt20__uninitia
 07cb0 6c697a65 645f636f 7079494c 62314545  lized_copyILb1EE
 07cc0 31335f5f 756e696e 69745f63 6f707949  13__uninit_copyI
 07cd0 4e395f5f 676e755f 63787831 375f5f6e  N9__gnu_cxx17__n
 07ce0 6f726d61 6c5f6974 65726174 6f724950  ormal_iteratorIP
 07cf0 4b504e37 54656163 68657231 30436865  KPN7Teacher10Che
 07d00 73735069 65636545 53743676 6563746f  ssPieceESt6vecto
 07d10 72495336 5f536149 53365f45 45454550  rIS6_SaIS6_EEEEP
 07d20 53365f45 4554305f 545f5346 5f53455f  S6_EET0_T_SF_SE_
 07d30 005f5f46 494c4500 636f6d70 61726500  .__FILE.compare.
 07d40 5f5a4e53 61495374 36766563 746f7249  _ZNSaISt6vectorI
 07d50 504e3754 65616368 65723130 43686573  PN7Teacher10Ches
 07d60 73506965 63654553 61495332 5f454545  sPieceESaIS2_EEE
 07d70 44344576 00776373 63707900 5f5f7661  D4Ev.wcscpy.__va
 07d80 6c756500 5f5f636f 6c756d6e 005f5a4e  lue.__column._ZN
 07d90 53743676 6563746f 7249535f 49504e37  St6vectorIS_IPN7
 07da0 54656163 68657231 30436865 73735069  Teacher10ChessPi
 07db0 65636545 53614953 325f4545 53614953  eceESaIS2_EESaIS
 07dc0 345f4545 35626567 696e4576 00676574  4_EE5beginEv.get
 07dd0 4e756d43 6f6c7300 5f5a4e53 74385f5f  NumCols._ZNSt8__
 07de0 64657461 696c3137 5f4c6973 745f6e6f  detail17_List_no
 07df0 64655f68 65616465 72433445 76005f73  de_headerC4Ev._s
 07e00 686f7274 62756600 5f736275 66005f4d  hortbuf._sbuf._M
 07e10 5f657863 65707469 6f6e5f6f 626a6563  _exception_objec
 07e20 74005f5a 4e375465 61636865 72313043  t._ZN7Teacher10C
 07e30 68657373 426f6172 64313169 7356616c  hessBoard11isVal
 07e40 69644d6f 76654569 69696900 5f5a4e53  idMoveEiiii._ZNS
 07e50 74367665 63746f72 49504e37 54656163  t6vectorIPN7Teac
 07e60 68657231 30436865 73735069 65636545  her10ChessPieceE
 07e70 53614953 325f4545 34737761 70455253  SaIS2_EE4swapERS
 07e80 345f0077 63746f62 005f5665 63746f72  4_.wctob._Vector
 07e90 5f626173 65005f5a 4e537436 76656374  _base._ZNSt6vect
 07ea0 6f724950 4e375465 61636865 72313043  orIPN7Teacher10C
 07eb0 68657373 50696563 65455361 4953325f  hessPieceESaIS2_
 07ec0 45454334 45524b53 335f005f 5f6e756d  EEC4ERKS3_.__num
 07ed0 65726963 5f747261 6974735f 696e7465  eric_traits_inte
 07ee0 6765723c 6c6f6e67 20756e73 69676e65  ger<long unsigne
 07ef0 6420696e 743e0066 666c7573 68007265  d int>.fflush.re
 07f00 76657273 655f6974 65726174 6f723c5f  verse_iterator<_
 07f10 5f676e75 5f637878 3a3a5f5f 6e6f726d  _gnu_cxx::__norm
 07f20 616c5f69 74657261 746f723c 7374643a  al_iterator<std:
 07f30 3a766563 746f723c 54656163 6865723a  :vector<Teacher:
 07f40 3a436865 73735069 6563652a 2c207374  :ChessPiece*, st
 07f50 643a3a61 6c6c6f63 61746f72 3c546561  d::allocator<Tea
 07f60 63686572 3a3a4368 65737350 69656365  cher::ChessPiece
 07f70 2a3e203e 2a2c2073 74643a3a 76656374  *> >*, std::vect
 07f80 6f723c73 74643a3a 76656374 6f723c54  or<std::vector<T
 07f90 65616368 65723a3a 43686573 73506965  eacher::ChessPie
 07fa0 63652a2c 20737464 3a3a616c 6c6f6361  ce*, std::alloca
 07fb0 746f723c 54656163 6865723a 3a436865  tor<Teacher::Che
 07fc0 73735069 6563652a 3e203e2c 20737464  ssPiece*> >, std
 07fd0 3a3a616c 6c6f6361 746f723c 7374643a  ::allocator<std:
 07fe0 3a766563 746f723c 54656163 6865723a  :vector<Teacher:
 07ff0 3a436865 73735069 6563652a 2c207374  :ChessPiece*, st
 08000 643a3a61 6c6c6f63 61746f72 3c546561  d::allocator<Tea
 08010 63686572 3a3a4368 65737350 69656365  cher::ChessPiece
 08020 2a3e203e 203e203e 203e203e 005f5a53  *> > > > > >._ZS
 08030 74313772 65746872 6f775f65 78636570  t17rethrow_excep
 08040 74696f6e 4e537431 355f5f65 78636570  tionNSt15__excep
 08050 74696f6e 5f707472 31336578 63657074  tion_ptr13except
 08060 696f6e5f 70747245 005f5f74 72616974  ion_ptrE.__trait
 08070 6f723c73 74643a3a 5f5f6973 5f617269  or<std::__is_ari
 08080 74686d65 7469633c 54656163 6865723a  thmetic<Teacher:
 08090 3a436865 73735069 6563652a 3e2c2073  :ChessPiece*>, s
 080a0 74643a3a 5f5f6973 5f706f69 6e746572  td::__is_pointer
 080b0 3c546561 63686572 3a3a4368 65737350  <Teacher::ChessP
 080c0 69656365 2a3e203e 005f5a4e 5374375f  iece*> >._ZNSt7_
 080d0 5f637878 3131346c 69737449 504e3754  _cxx114listIPN7T
 080e0 65616368 65723130 43686573 73506965  eacher10ChessPie
 080f0 63654553 61495333 5f454536 73706c69  ceESaIS3_EE6spli
 08100 63654553 7432305f 4c697374 5f636f6e  ceESt20_List_con
 08110 73745f69 74657261 746f7249 53335f45  st_iteratorIS3_E
 08120 4f53355f 53375f53 375f0066 6c6f6174  OS5_S7_S7_.float
 08130 005f5f67 75617264 005f5a53 74385f44  .__guard._ZSt8_D
 08140 65737472 6f794950 53743676 6563746f  estroyIPSt6vecto
 08150 7249504e 37546561 63686572 31304368  rIPN7Teacher10Ch
 08160 65737350 69656365 45536149 53335f45  essPieceESaIS3_E
 08170 4553355f 4576545f 53375f52 53614954  ES5_EvT_S7_RSaIT
 08180 305f4500 5f5a4e53 74367665 63746f72  0_E._ZNSt6vector
 08190 49535f49 504e3754 65616368 65723130  IS_IPN7Teacher10
 081a0 43686573 73506965 63654553 61495332  ChessPieceESaIS2
 081b0 5f454553 61495334 5f454536 61737369  _EESaIS4_EE6assi
 081c0 676e456d 524b5334 5f005f5f 636f756e  gnEmRKS4_.__coun
 081d0 7400756e 7369676e 65642063 68617200  t.unsigned char.
 081e0 5f5a5374 3230756e 696e6974 69616c69  _ZSt20uninitiali
 081f0 7a65645f 66696c6c 5f6e4950 53743676  zed_fill_nIPSt6v
 08200 6563746f 7249504e 37546561 63686572  ectorIPN7Teacher
 08210 31304368 65737350 69656365 45536149  10ChessPieceESaI
 08220 53335f45 456d5335 5f45545f 53375f54  S3_EEmS5_ET_S7_T
 08230 305f524b 54315f00 5f5a4e53 74367665  0_RKT1_._ZNSt6ve
 08240 63746f72 49504e37 54656163 68657231  ctorIPN7Teacher1
 08250 30436865 73735069 65636545 53614953  0ChessPieceESaIS
 08260 325f4545 43344552 4b53345f 005f5a53  2_EEC4ERKS4_._ZS
 08270 74385f44 65737472 6f794950 53743676  t8_DestroyIPSt6v
 08280 6563746f 7249504e 37546561 63686572  ectorIPN7Teacher
 08290 31304368 65737350 69656365 45536149  10ChessPieceESaI
 082a0 53335f45 45457654 5f53375f 00626f61  S3_EEEvT_S7_.boa
 082b0 72640077 63737062 726b005f 5a4e4b39  rd.wcspbrk._ZNK9
 082c0 5f5f676e 755f6378 7831365f 5f616c69  __gnu_cxx16__ali
 082d0 676e6564 5f6d656d 62756649 504e3754  gned_membufIPN7T
 082e0 65616368 65723130 43686573 73506965  eacher10ChessPie
 082f0 63654545 365f4d5f 70747245 76005f5f  ceEE6_M_ptrEv.__
 08300 61737369 676e6162 6c65003c 6c616d62  assignable.<lamb
 08310 64612854 65616368 65723a3a 43686573  da(Teacher::Ches
 08320 73506965 63652a29 3e005f5a 4e4b5374  sPiece*)>._ZNKSt
 08330 36766563 746f7249 535f4950 4e375465  6vectorIS_IPN7Te
 08340 61636865 72313043 68657373 50696563  acher10ChessPiec
 08350 65455361 4953325f 45455361 4953345f  eESaIS2_EESaIS4_
 08360 45453365 6e644576 00696e74 5f705f73  EE3endEv.int_p_s
 08370 65705f62 795f7370 61636500 5f5a4e39  ep_by_space._ZN9
 08380 5f5f676e 755f6378 7832345f 5f6e756d  __gnu_cxx24__num
 08390 65726963 5f747261 6974735f 696e7465  eric_traits_inte
 083a0 67657249 7345355f 5f6d696e 45005f5a  gerIsE5__minE._Z
 083b0 4e395f5f 676e755f 63787831 345f5f61  N9__gnu_cxx14__a
 083c0 6c6c6f63 5f747261 69747349 53614950  lloc_traitsISaIP
 083d0 4e375465 61636865 72313043 68657373  N7Teacher10Chess
 083e0 50696563 65454553 335f4531 375f535f  PieceEES3_E17_S_
 083f0 73656c65 63745f6f 6e5f636f 70794552  select_on_copyER
 08400 4b53345f 00747970 655f696e 666f005f  KS4_.type_info._
 08410 5a537432 345f5f75 6e696e69 7469616c  ZSt24__uninitial
 08420 697a6564 5f66696c 6c5f6e5f 61495053  ized_fill_n_aIPS
 08430 74367665 63746f72 49504e37 54656163  t6vectorIPN7Teac
 08440 68657231 30436865 73735069 65636545  her10ChessPieceE
 08450 53614953 335f4545 6d53355f 53355f45  SaIS3_EEmS5_S5_E
 08460 545f5337 5f54305f 524b5431 5f525361  T_S7_T0_RKT1_RSa
 08470 4954325f 45005f5a 4e4b395f 5f676e75  IT2_E._ZNK9__gnu
 08480 5f637878 31375f5f 6e6f726d 616c5f69  _cxx17__normal_i
 08490 74657261 746f7249 504b504e 37546561  teratorIPKPN7Tea
 084a0 63686572 31304368 65737350 69656365  cher10ChessPiece
 084b0 45537436 76656374 6f724953 335f5361  ESt6vectorIS3_Sa
 084c0 4953335f 4545456d 69456c00 5f706f73  IS3_EEEmiEl._pos
 084d0 0066656f 66007265 6e616d65 00696e74  .feof.rename.int
 084e0 5f637572 725f7379 6d626f6c 006d6273  _curr_symbol.mbs
 084f0 696e6974 005f5a4e 53743230 5f4c6973  init._ZNSt20_Lis
 08500 745f636f 6e73745f 69746572 61746f72  t_const_iterator
 08510 49504e37 54656163 68657231 30436865  IPN7Teacher10Che
 08520 73735069 65636545 45433245 504b4e53  ssPieceEEC2EPKNS
 08530 74385f5f 64657461 696c3135 5f4c6973  t8__detail15_Lis
 08540 745f6e6f 64655f62 61736545 005f5a4e  t_node_baseE._ZN
 08550 4b537436 76656374 6f724953 5f49504e  KSt6vectorIS_IPN
 08560 37546561 63686572 31304368 65737350  7Teacher10ChessP
 08570 69656365 45536149 53325f45 45536149  ieceESaIS2_EESaI
 08580 53345f45 45386d61 785f7369 7a654576  S4_EE8max_sizeEv
 08590 00737770 72696e74 66005f5a 4e537437  .swprintf._ZNSt7
 085a0 5f5f6378 78313134 6c697374 49504e37  __cxx114listIPN7
 085b0 54656163 68657231 30436865 73735069  Teacher10ChessPi
 085c0 65636545 53614953 335f4545 6153454f  eceESaIS3_EEaSEO
 085d0 53355f00 5f5a4e53 74375f5f 63787831  S5_._ZNSt7__cxx1
 085e0 3131305f 4c697374 5f626173 6549504e  110_List_baseIPN
 085f0 37546561 63686572 31304368 65737350  7Teacher10ChessP
 08600 69656365 45536149 53335f45 4532315f  ieceESaIS3_EE21_
 08610 4d5f6765 745f4e6f 64655f61 6c6c6f63  M_get_Node_alloc
 08620 61746f72 4576007e 3c6c616d 6264613e  atorEv.~<lambda>
 08630 00776374 72616e73 005f5a4e 4b537431  .wctrans._ZNKSt1
 08640 305f4c69 73745f6e 6f646549 504e3754  0_List_nodeIPN7T
 08650 65616368 65723130 43686573 73506965  eacher10ChessPie
 08660 63654545 395f4d5f 76616c70 74724576  ceEE9_M_valptrEv
 08670 005f5a4e 4b537436 76656374 6f724950  ._ZNKSt6vectorIP
 08680 4e375465 61636865 72313043 68657373  N7Teacher10Chess
 08690 50696563 65455361 4953325f 45456978  PieceESaIS2_EEix
 086a0 456d006f 75747075 74537472 696e6700  Em.outputString.
 086b0 776d656d 73657400 5f5a4e53 7431325f  wmemset._ZNSt12_
 086c0 56656374 6f725f62 61736549 53743676  Vector_baseISt6v
 086d0 6563746f 7249504e 37546561 63686572  ectorIPN7Teacher
 086e0 31304368 65737350 69656365 45536149  10ChessPieceESaI
 086f0 53335f45 45536149 53355f45 45443245  S3_EESaIS5_EED2E
 08700 76007763 73667469 6d65005f 5a4e5374  v.wcsftime._ZNSt
 08710 36766563 746f7249 535f4950 4e375465  6vectorIS_IPN7Te
 08720 61636865 72313043 68657373 50696563  acher10ChessPiec
 08730 65455361 4953325f 45455361 4953345f  eESaIS2_EESaIS4_
 08740 45453970 7573685f 6261636b 45524b53  EE9push_backERKS
 08750 345f005f 5a4e5374 36766563 746f7249  4_._ZNSt6vectorI
 08760 535f4950 4e375465 61636865 72313043  S_IPN7Teacher10C
 08770 68657373 50696563 65455361 4953325f  hessPieceESaIS2_
 08780 45455361 4953345f 45453672 6573697a  EESaIS4_EE6resiz
 08790 65456d00 5f5a4e53 74367665 63746f72  eEm._ZNSt6vector
 087a0 49535f49 504e3754 65616368 65723130  IS_IPN7Teacher10
 087b0 43686573 73506965 63654553 61495332  ChessPieceESaIS2
 087c0 5f454553 61495334 5f454543 34454f53  _EESaIS4_EEC4EOS
 087d0 365f524b 53355f00 636f6e73 745f6974  6_RKS5_.const_it
 087e0 65726174 6f72005f 5a4e395f 5f676e75  erator._ZN9__gnu
 087f0 5f637878 31336e65 775f616c 6c6f6361  _cxx13new_alloca
 08800 746f7249 63453130 6465616c 6c6f6361  torIcE10dealloca
 08810 74654550 636d005f 5a4e5374 36766563  teEPcm._ZNSt6vec
 08820 746f7249 535f4950 4e375465 61636865  torIS_IPN7Teache
 08830 72313043 68657373 50696563 65455361  r10ChessPieceESa
 08840 4953325f 45455361 4953345f 45456978  IS2_EESaIS4_EEix
 08850 456d0073 65746c6f 63616c65 00706965  Em.setlocale.pie
 08860 63657769 73655f63 6f6e7374 72756374  cewise_construct
 08870 005f5a4e 53743676 6563746f 7249535f  ._ZNSt6vectorIS_
 08880 49504e37 54656163 68657231 30436865  IPN7Teacher10Che
 08890 73735069 65636545 53614953 325f4545  ssPieceESaIS2_EE
 088a0 53614953 345f4545 36696e73 65727445  SaIS4_EE6insertE
 088b0 4e395f5f 676e755f 63787831 375f5f6e  N9__gnu_cxx17__n
 088c0 6f726d61 6c5f6974 65726174 6f724950  ormal_iteratorIP
 088d0 4b53345f 53365f45 456d5253 395f005f  KS4_S6_EEmRS9_._
 088e0 5a4e5374 385f5f64 65746169 6c31355f  ZNSt8__detail15_
 088f0 4c697374 5f6e6f64 655f6261 73653473  List_node_base4s
 08900 77617045 5253305f 53315f00 5f5f7369  wapERS0_S1_.__si
 08910 6d706c65 00636c65 61726572 72005f5f  mple.clearerr.__
 08920 61646472 6573736f 663c7374 643a3a76  addressof<std::v
 08930 6563746f 723c5465 61636865 723a3a43  ector<Teacher::C
 08940 68657373 50696563 652a3e20 3e005f5a  hessPiece*> >._Z
 08950 4e4b5374 36766563 746f7249 504e3754  NKSt6vectorIPN7T
 08960 65616368 65723130 43686573 73506965  eacher10ChessPie
 08970 63654553 61495332 5f454533 656e6445  ceESaIS2_EE3endE
 08980 76005f4d 5f646566 61756c74 5f696e69  v._M_default_ini
 08990 7469616c 697a6500 72657665 7273655f  tialize.reverse_
 089a0 69746572 61746f72 3c5f5f67 6e755f63  iterator<__gnu_c
 089b0 78783a3a 5f5f6e6f 726d616c 5f697465  xx::__normal_ite
 089c0 7261746f 723c5465 61636865 723a3a43  rator<Teacher::C
 089d0 68657373 50696563 652a2a2c 20737464  hessPiece**, std
 089e0 3a3a7665 63746f72 3c546561 63686572  ::vector<Teacher
 089f0 3a3a4368 65737350 69656365 2a2c2073  ::ChessPiece*, s
 08a00 74643a3a 616c6c6f 6361746f 723c5465  td::allocator<Te
 08a10 61636865 723a3a43 68657373 50696563  acher::ChessPiec
 08a20 652a3e20 3e203e20 3e006265 67696e00  e*> > > >.begin.
 08a30 5f535f6e 6f746872 6f775f6d 6f766500  _S_nothrow_move.
 08a40 5f4d5f75 6e686f6f 6b005f44 65737472  _M_unhook._Destr
 08a50 6f793c54 65616368 65723a3a 43686573  oy<Teacher::Ches
 08a60 73506965 63652a2a 3e005f5a 4e537436  sPiece**>._ZNSt6
 08a70 76656374 6f724950 4e375465 61636865  vectorIPN7Teache
 08a80 72313043 68657373 50696563 65455361  r10ChessPieceESa
 08a90 4953325f 45454334 45524b53 345f524b  IS2_EEC4ERKS4_RK
 08aa0 53335f00 74797065 005f5f69 735f6172  S3_.type.__is_ar
 08ab0 6974686d 65746963 3c546561 63686572  ithmetic<Teacher
 08ac0 3a3a4368 65737350 69656365 2a3e0076  ::ChessPiece*>.v
 08ad0 73777363 616e6600 5f5f6f66 665f7400  swscanf.__off_t.
 08ae0 5f5a4e53 74367665 63746f72 49504e37  _ZNSt6vectorIPN7
 08af0 54656163 68657231 30436865 73735069  Teacher10ChessPi
 08b00 65636545 53614953 325f4545 39707573  eceESaIS2_EE9pus
 08b10 685f6261 636b454f 53325f00 5f5a4e53  h_backEOS2_._ZNS
 08b20 7431325f 56656374 6f725f62 61736549  t12_Vector_baseI
 08b30 504e3754 65616368 65723130 43686573  PN7Teacher10Ches
 08b40 73506965 63654553 61495332 5f454531  sPieceESaIS2_EE1
 08b50 325f5665 63746f72 5f696d70 6c433445  2_Vector_implC4E
 08b60 4f53335f 005f5a4e 4b537437 5f5f6378  OS3_._ZNKSt7__cx
 08b70 78313134 6c697374 49504e37 54656163  x114listIPN7Teac
 08b80 68657231 30436865 73735069 65636545  her10ChessPieceE
 08b90 53614953 335f4545 3463656e 64457600  SaIS3_EE4cendEv.
 08ba0 5f5a4e39 5f5f676e 755f6378 7831345f  _ZN9__gnu_cxx14_
 08bb0 5f616c6c 6f635f74 72616974 73495361  _alloc_traitsISa
 08bc0 49537431 305f4c69 73745f6e 6f646549  ISt10_List_nodeI
 08bd0 504e3754 65616368 65723130 43686573  PN7Teacher10Ches
 08be0 73506965 63654545 4553355f 4531375f  sPieceEEES5_E17_
 08bf0 535f7365 6c656374 5f6f6e5f 636f7079  S_select_on_copy
 08c00 45524b53 365f005f 5f706f73 6974696f  ERKS6_.__positio
 08c10 6e005f4d 5f73746f 72616765 005f5f61  n._M_storage.__a
 08c20 6c69676e 65645f6d 656d6275 66005f5f  ligned_membuf.__
 08c30 6e6f726d 616c5f69 74657261 746f723c  normal_iterator<
 08c40 636f6e73 74207374 643a3a76 6563746f  const std::vecto
 08c50 723c5465 61636865 723a3a43 68657373  r<Teacher::Chess
 08c60 50696563 652a2c20 7374643a 3a616c6c  Piece*, std::all
 08c70 6f636174 6f723c54 65616368 65723a3a  ocator<Teacher::
 08c80 43686573 73506965 63652a3e 203e2a2c  ChessPiece*> >*,
 08c90 20737464 3a3a7665 63746f72 3c737464   std::vector<std
 08ca0 3a3a7665 63746f72 3c546561 63686572  ::vector<Teacher
 08cb0 3a3a4368 65737350 69656365 2a2c2073  ::ChessPiece*, s
 08cc0 74643a3a 616c6c6f 6361746f 723c5465  td::allocator<Te
 08cd0 61636865 723a3a43 68657373 50696563  acher::ChessPiec
 08ce0 652a3e20 3e2c2073 74643a3a 616c6c6f  e*> >, std::allo
 08cf0 6361746f 723c7374 643a3a76 6563746f  cator<std::vecto
 08d00 723c5465 61636865 723a3a43 68657373  r<Teacher::Chess
 08d10 50696563 652a2c20 7374643a 3a616c6c  Piece*, std::all
 08d20 6f636174 6f723c54 65616368 65723a3a  ocator<Teacher::
